Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Meijer,Penny Smart Large Eggs,$2.39,,,1 doz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d1c04429-3713-4877-9d8a-68bba2804701.png,"
Meijer,Meijer Whole Milk,$2.99,,,1 gal,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8a013f9d-1c39-4cbd-95fe-e885e1b91594.png,"
Meijer,Original price: $7.51,$3.21,/pkg (est.),$2.99 / lb,About 1.08 lb / package,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c7827785-a0a5-4345-b2b8-f324aa63d946.png,"
Meijer,Duracell Coppertop AA Alkaline Batteries,$23.99,,,24 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fe11c438-7f8c-4b48-b273-0ffb7e8537b7.png,"
Meijer,Planters Deluxe Mixed Nuts,$10.99,,,15.25 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4ce96d31-76d9-4359-b85a-6a8b8d6ad102.jpg,"
Meijer,Meijer Purified Drinking Water,$3.99,,,24 x 16.9 fl oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c7f0273e-d4a2-44e4-ab08-b38c770e9c73.png,"
Meijer,Meijer White Enriched Split Top Bread,$1.99,,,22 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6a9cb693-bfbb-4173-9675-fe250612868f.jpg,"
Meijer,Original price: $4.39,$3.89,,,12 x 3 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_89927b0a-92c3-4bd0-9fb6-d687c98a36dc.png,"
Meijer,Stur Drinks Strawberry Watermelon Liquid Water Enhancer,$3.99,,,1.62 fl oz,"['Zero Calories', 'Zero Sugar']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_07ea7561-c6a1-41dc-b4a7-395f16ab4c50.png,"
Meijer,"DUDE Wipes Flushable Wipes, Fragrance Free, Extra Large",$11.99,,,3 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_395816ea-9708-481b-9abc-316dc965c42e.jpg,"
Meijer,Famer's Best International Green Bell Peppers,$0.99,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ca1ee103-c010-46be-bc21-04302ca0885c.jpg,"
Meijer,Meijer Salted Sweet Cream Butter,$4.59,,,16 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4795fb56-52d9-425b-8cc5-c4dbe4cbb8db.png,"
Meijer,"Meijer Mexican 4 Cheese Monterey Jack, Cheddar, Queso Quesadilla & Asadero Finely Shredded Cheeses",$2.69,,,8 oz,['Keto'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_07974cdf-5481-4af5-9f85-12ce85f2c11d.png,"
